is_Action,is_Comedy,is_Drama,is_Horror,is_Romance,is_Sci-Fi,popularity,runtime,vote_average,title,cluster
1,0,1,0,0,0,45.37724711,97.90615558,7.218953311,The Lost Revenge of Fire,1
1,0,0,1,0,0,45.65503773,116.6227423,7.496047686,The Final Heart of Secrets,2
1,0,0,0,1,1,46.90827877,84.40141109,5.743204911,The Broken Game of Fire,1
1,0,0,1,0,0,52.22133772,109.1916086,5.078189333,The Broken Truth of Escape,2
1,1,0,0,0,1,45.21251378,84.19876655,8.001333652,The Last Hope of Escape,4
1,1,1,0,1,1,62.55756126,90.64346559,6.177320161,The Dark Revenge of Love,0
1,1,1,0,0,1,41.05392698,128.7104703,6.249166984,The Broken City of Power,0
0,1,1,0,0,1,48.13128356,97.13976399,7.828194142,The Broken Day of Power,0
1,1,0,1,1,1,45.60268942,103.2614931,7.056230009,The Glorious Revenge of War,4
0,1,1,0,1,1,64.46977884,113.051016,6.955887772,The Dark Day of War,0
0,1,0,0,1,1,51.96554777,107.4352283,8.665002345,The Lost World of Justice,4
1,1,0,1,0,1,60.31844539,102.2562836,5.85648177,The Silent Game of Love,4
1,1,0,1,1,1,35.14439627,105.474415,7.427840128,The Broken Truth of Love,4
1,0,1,0,0,0,52.67050266,136.0512338,6.557013125,The Glorious Dream of Memories,1
0,0,0,1,0,0,58.89630796,99.13571804,6.768592279,The Broken Night of Secrets,2
0,1,1,0,1,0,50.82283989,103.0164857,8.028468426,The Broken Night of Power,3
0,1,0,1,1,0,60.65480375,115.7598159,7.007835756,The Hidden Dream of Escape,4
0,1,0,0,0,1,44.8271155,116.582889,7.038296079,The Glorious Dream of Escape,4
1,0,1,1,1,1,64.0934744,117.8054546,7.572507337,The Hidden Hope of Love,1
1,0,0,0,1,1,72.98898124,109.5809533,6.13504727,The Wild Game of Memories,1
0,1,0,0,0,1,46.3716144,82.85492631,5.660790333,The Wild World of Love,4
1,0,0,0,0,1,45.54497479,124.501473,5.455190806,The Lost Dream of Power,2
1,0,0,1,1,0,64.53384477,82.8048191,4.533643411,The Last World of Time,1
0,0,1,1,1,0,65.79572146,104.539532,8.55620713,The Last Day of Time,3
0,1,1,0,1,1,44.77139973,88.68586225,5.396791634,The Silent Dream of Memories,3
0,1,0,0,0,0,45.79813183,99.0379248,6.278746376,The Final City of Love,4
0,0,0,1,0,0,47.18215391,104.9314362,6.2231867,The Furious City of Justice,2
1,1,1,0,1,0,36.55549489,104.8203582,6.807406698,The Furious Hope of Justice,3
0,0,0,1,1,0,40.81348054,106.3288113,7.315737213,The Wild Night of Time,2
0,0,1,0,0,1,39.95859233,124.205669,7.360473488,The Silent Dream of Justice,1
1,0,1,1,0,1,42.32202435,106.8030145,5.916922561,The Final Truth of Justice,1
0,1,0,0,0,1,49.65315113,96.33765047,6.332878286,The Lost Game of War,4
0,1,0,0,1,0,52.34214733,114.4613075,6.78257995,The Hidden Game of Power,4
0,1,0,0,0,0,65.50500493,117.8420573,6.251308874,The Broken Revenge of Love,4
1,1,0,1,0,1,40.01645959,81.58588277,8.107345576,The Glorious Truth of Future,4
0,0,0,0,0,0,59.84322398,108.961001,6.990974952,The Lost Hope of Future,2
1,0,1,0,1,1,47.86011156,110.5175911,7.234877786,The Dark Heart of Fire,1
1,0,0,1,0,1,49.5053629,95.53654745,7.162881269,The Last Heart of Fire,2
0,1,1,0,1,0,56.74819492,120.6356022,7.673473857,The Final Truth of Love,3
1,1,0,0,0,1,38.77277978,97.74916619,6.681021559,The Lost World of Memories,4
0,1,1,0,0,1,53.82409746,101.8836468,5.203168052,The Wild Hope of Justice,0
1,0,0,0,0,0,51.66452208,97.40392264,6.899687952,The Final Hope of Memories,2
1,1,1,1,0,0,54.92451264,100.2336857,5.848643106,The Dark Dream of Justice,3
0,1,1,0,0,1,52.89168644,83.5558737,5.971383318,The Last Hope of Future,0
1,0,0,1,0,0,74.5530014,78.39923676,7.086364019,The Furious Truth of Future,2
0,1,1,1,1,1,43.62260016,123.9175759,7.738283071,The Lost City of Justice,3
1,1,0,0,0,0,44.69003045,87.29557978,6.521271577,The Hidden Revenge of Future,4
0,0,0,1,1,0,43.76859474,85.12911476,6.808833013,The Hidden Truth of Escape,2
0,1,0,0,1,0,44.44522881,67.6991483,8.202214945,The Dark Heart of Love,2
1,0,1,1,1,0,43.62612873,90.41557378,6.740753179,The Wild Truth of Justice,1
1,0,0,0,0,1,61.89016531,80.1536531,9.101683114,The Final Revenge of Memories,2
1,0,0,1,0,1,64.20504248,124.6302274,7.065509646,The Last City of Memories,2
0,0,1,0,1,0,44.29253706,115.1472563,4.739237241,The Lost Day of Time,3
0,0,1,0,0,0,41.67644427,89.67774482,7.253341621,The Wild Dream of Memories,1
0,1,1,0,1,0,54.71415556,133.7865371,6.881158385,The Wild Truth of Fire,3
0,0,1,1,1,1,44.47776956,114.7264823,7.789752754,The Glorious Day of War,3
1,1,1,1,1,0,56.32931818,95.12752925,7.173181351,The Final Night of Love,3
1,1,1,1,1,1,52.02923021,62.50891428,6.361544016,The Lost Truth of Love,3
1,1,1,1,1,0,34.84255885,134.3641386,5.275701764,The Silent Heart of Power,3
0,1,1,0,1,0,65.47505201,79.156413,6.290976743,The Last Night of Fire,3
0,0,0,0,1,0,67.95877673,75.3190188,5.649479546,The Wild Revenge of Time,1
1,1,0,0,1,0,43.8721131,115.3385565,5.91947655,The Lost World of Time,4
0,1,1,0,1,0,46.1229844,136.5962861,7.088578404,The Broken Day of Time,3
0,0,1,1,1,1,52.85865391,120.7640923,8.169904504,The Silent Dream of Time,3
1,0,0,0,0,1,53.3445679,108.4586368,6.89467153,The Last Dream of Memories,2
0,1,0,1,1,0,56.58544273,108.9213151,5.304116938,The Lost Game of Future,4
0,0,0,1,0,0,70.10204539,112.8012334,6.944602668,The Last Night of Secrets,2
1,0,0,0,0,0,48.23052773,111.3839288,7.696631487,The Final Hope of Time,2
1,0,0,0,0,0,42.01702755,104.2178714,5.890217096,The Last Night of Love,2
1,0,1,1,0,0,36.20680772,101.5630166,6.365982833,The Lost World of Power,1
0,0,1,0,0,0,42.6906996,99.06110308,6.514688195,The Dark Truth of Power,1
0,0,0,1,1,0,49.66873027,88.69053117,5.715101687,The Wild Dream of Justice,2
0,0,1,0,1,0,67.94557864,95.78987385,7.148280434,The Last World of Love,1
0,0,0,1,1,0,44.82388701,74.60564779,6.379051851,The Dark World of Justice,2
0,1,1,1,1,0,52.23787952,98.5249056,6.919532444,The Broken Heart of Love,3
1,0,1,1,1,1,49.83577104,85.17113339,5.612507822,The Glorious Game of Secrets,1
1,0,0,1,1,0,61.88393273,83.44616024,6.0625417,The Final Dream of Time,1
1,1,0,1,1,0,75.26932426,102.6984123,7.222381358,The Broken Night of Secrets,3
0,0,1,0,0,0,44.69131227,120.8800343,6.127166848,The Last Revenge of Power,1
0,0,0,1,1,0,45.10560557,113.7747491,8.226963851,The Silent Night of Memories,2
0,0,1,1,1,1,60.44160877,76.44249095,6.100363814,The Silent Heart of Justice,1
1,1,1,1,1,0,56.8189149,85.15557795,6.724684726,The Final World of War,3
0,0,0,1,1,0,68.46707326,114.1115678,7.432590832,The Dark Dream of Fire,2
1,0,1,0,1,1,55.83928185,85.2626891,5.081634267,The Furious Day of Love,1
0,1,0,0,0,0,46.40707909,96.63050275,4.739191188,The Broken World of Fire,4
1,1,1,0,1,0,55.90654831,108.2507815,4.974343685,The Broken Night of Love,3
1,1,1,0,1,1,61.08703581,85.47483318,7.762584103,The Final Game of Memories,0
0,1,0,1,0,0,58.20482181,101.5806326,5.948141854,The Broken Day of War,4
1,0,0,0,0,0,55.07274031,79.98961758,9.058199286,The Dark Game of Fire,2
0,1,0,0,1,1,60.6667469,90.97948534,5.935752401,The Lost City of Justice,4
1,1,1,1,1,0,61.6929559,104.796729,6.684551303,The Glorious City of Love,3
0,1,0,0,0,1,63.82158991,76.105094,8.042109953,The Final Day of Secrets,4
1,0,1,0,0,0,56.48709888,106.6071211,8.506092888,The Glorious World of War,1
0,1,1,1,0,1,48.3288192,99.70543302,8.561503577,The Silent Hope of Memories,0
0,1,0,0,0,1,51.46713686,108.2873493,7.708366231,The Silent Hope of Time,4
1,1,1,0,1,1,62.06508967,103.358712,7.524062526,The Furious Day of Secrets,0
0,0,0,1,0,0,41.83064329,120.4621064,7.092526949,The Dark Truth of Power,2
0,1,0,1,1,0,53.68673309,101.8783675,7.278361076,The Dark Hope of Power,4
0,1,0,0,1,1,46.06661188,93.55891688,5.948814284,The Glorious Dream of Fire,4
0,1,0,0,0,1,50.28744823,101.8344625,5.681801117,The Final Truth of Love,4
0,0,0,1,1,1,62.78451863,108.1494704,6.496625543,The Lost Revenge of Fire,2
1,1,0,1,1,1,51.91099068,100.7329011,6.329815377,The Furious World of Memories,4
0,1,1,0,1,0,50.46436548,100.6088754,6.046771951,The Wild Revenge of Power,3
0,0,0,0,1,0,36.40143859,89.47012468,7.196387447,The Hidden Game of War,2
0,1,0,1,1,1,57.46253566,90.05648624,7.455305209,The Glorious Truth of Fire,4
0,0,0,1,0,0,56.45484181,78.96092092,6.588406886,The Furious Dream of Memories,2
0,1,1,0,0,0,71.63254723,126.2436511,7.977530081,The Hidden City of Escape,0
0,1,1,1,1,0,46.92221765,81.34205147,5.358310886,The Hidden Day of Justice,3
0,0,1,0,1,1,52.19150328,89.60642203,6.306340541,The Silent Hope of Escape,1
0,0,0,1,0,1,52.49383684,89.22389102,5.783177679,The Furious Game of Secrets,2
0,1,1,0,1,1,65.7745328,113.4238657,4.633463383,The Final World of War,0
0,1,0,1,0,0,49.04704468,95.57575483,6.417319314,The Glorious Revenge of Power,4
1,1,1,1,1,0,52.79021526,118.7161311,6.378252492,The Silent Night of Future,3
1,0,0,1,0,0,56.0789651,89.89764064,8.013449743,The Dark Revenge of Fire,2
0,0,1,0,1,1,51.86609123,104.1849124,7.130811685,The Hidden Truth of Time,1
0,1,1,1,0,1,45.53566385,87.4697942,5.475813176,The Lost Truth of Secrets,0
1,1,0,1,0,0,51.94089993,132.1772369,8.354092566,The Last Game of Love,2
0,0,0,0,1,0,60.7363175,82.18602371,7.721033696,The Broken City of Time,1
1,1,0,1,1,1,39.73484701,104.6473107,7.082097703,The Lost Heart of Time,4
1,0,1,0,1,1,51.32969674,109.5066532,6.273515901,The Last Revenge of Love,1
0,1,1,1,0,1,42.99879185,106.2069865,5.540560763,The Furious Hope of Escape,0
0,1,0,0,1,1,61.95046629,97.22068512,6.127793224,The Hidden Night of Secrets,4
0,0,1,0,1,1,34.76813095,98.0526895,7.58874862,The Furious World of Time,1
1,1,0,1,0,1,44.41078153,100.6571721,8.384586306,The Furious Truth of Secrets,4
0,1,0,0,1,1,53.77211875,97.79496998,8.043243528,The Dark Heart of Justice,4
1,1,0,1,0,0,65.65524029,114.4581868,6.011150578,The Broken Hope of Time,4
1,0,0,0,0,1,49.34249739,133.157845,5.380382567,The Final World of Justice,2
1,1,1,0,0,1,44.44800473,91.63762322,6.640886247,The Furious Hope of Power,0
1,1,0,1,1,1,68.81157069,79.45295531,4.731560634,The Last Hope of Power,4
0,0,0,0,0,0,35.519861,98.67576927,6.823167714,The Broken Dream of Fire,2
0,0,1,1,0,0,28.01194043,138.6956401,6.352397414,The Furious Game of Secrets,0
1,0,0,0,1,1,54.4001445,87.94488148,6.033963498,The Final Hope of Memories,1
1,1,1,0,1,0,44.97945776,124.5867521,4.905296933,The Wild Hope of Power,3
0,1,1,0,0,0,39.78767183,125.1655122,7.013600107,The Furious Revenge of Secrets,3
1,1,1,1,1,0,57.08356447,91.69617637,5.96729916,The Dark Dream of Justice,3
1,0,0,0,1,1,52.43800714,108.5347462,5.330083164,The Wild Truth of Power,1
1,0,0,0,0,0,44.35921369,124.4259493,3.627737787,The Wild Truth of Justice,2
0,1,1,1,1,0,37.19695601,94.31308389,6.472485095,The Hidden Dream of War,3
0,1,0,1,1,1,58.72457328,96.9462946,8.272251597,The Hidden Revenge of Future,4
0,1,1,1,0,0,56.50201178,91.27478629,8.161259215,The Wild Heart of Future,0
1,0,0,0,0,0,49.00824136,84.77864904,6.042903743,The Broken Heart of Love,2
0,0,0,0,0,1,68.46636996,90.26083682,5.89778794,The Hidden Night of Fire,2
1,0,1,1,0,0,39.29915234,81.640896,6.968774256,The Silent Hope of Escape,1
0,1,1,0,0,0,34.74474829,100.511252,5.501614561,The Broken Hope of War,3
1,1,1,1,0,0,43.0809193,88.45040153,6.8017919,The Last Night of Justice,3
0,0,1,1,0,0,49.54413984,103.5067887,7.266080278,The Last Heart of Love,3
1,0,1,0,0,0,52.43339449,76.66156531,7.726933224,The Lost Revenge of Power,1
0,0,0,0,1,1,47.58763942,104.9632035,6.399845924,The Final Revenge of Secrets,2
1,1,1,0,0,1,53.52055397,112.5029344,6.29632625,The Broken Game of War,0
0,1,1,0,0,0,37.48460576,70.09396536,5.622017413,The Dark Revenge of Secrets,3
1,0,1,1,1,0,64.43764604,105.6108485,5.673119646,The Dark Truth of Escape,1
0,1,0,0,0,1,49.17848822,118.4150349,6.273521108,The Dark Night of Secrets,4
1,0,1,0,0,0,61.17295832,81.85538472,6.867365507,The Broken Day of War,1
0,1,1,1,0,0,53.42725346,125.0885858,7.413584626,The Silent Game of Fire,0
0,1,0,1,1,1,54.56753219,106.2852851,5.696821049,The Final Day of Memories,4
1,1,1,0,0,1,55.6976728,89.42482216,7.992688569,The Furious Truth of Power,0
1,0,1,1,0,1,54.4770856,99.16346384,6.228876399,The Glorious Day of Future,1
1,1,0,0,0,1,56.4272276,108.3749037,6.478632706,The Dark Game of Fire,4
1,0,1,1,1,1,63.2915253,101.1400809,5.752788321,The Last Game of War,1
1,0,1,0,1,0,51.9652117,108.0813399,4.07575974,The Silent Game of Justice,3
1,0,1,0,1,0,57.09003758,86.1898961,7.384045396,The Glorious Game of Time,1
1,0,0,1,1,0,49.10264306,102.5404124,7.236843897,The Silent Night of Power,2
1,0,0,0,1,0,64.40117215,78.79428255,6.218672443,The Last Game of Secrets,1
0,1,1,1,1,0,43.23607698,98.33160908,6.566990717,The Broken Hope of War,3
0,0,0,1,0,0,68.00940433,86.44138538,7.015939218,The Lost Day of Secrets,2
1,0,0,0,0,0,49.59842049,88.96705086,4.937454143,The Lost Hope of Secrets,2
0,1,1,0,0,1,35.69224898,118.5413976,5.970947323,The Silent Day of Fire,0
0,0,0,1,0,1,51.28104415,116.3696518,7.29426468,The Final Revenge of War,2
0,1,1,0,1,0,43.18948343,109.1370718,5.245710577,The Broken Heart of Time,3
1,0,0,1,0,0,58.40643549,83.61530853,6.793557932,The Lost Heart of Time,2
1,0,0,1,1,0,43.47376021,95.25387325,5.143418195,The Dark Day of Escape,2
0,1,1,0,1,0,45.53816567,118.1964655,6.966429982,The Last Heart of Secrets,3
0,0,0,0,1,1,31.10459269,102.1257537,6.464358518,The Last Truth of Time,2
1,1,0,0,0,0,45.47693681,134.7899431,4.884868184,The Broken Truth of Escape,4
1,0,0,1,1,1,25.76120673,105.8997676,7.664739354,The Hidden Night of Secrets,4
1,0,0,1,0,0,34.16097177,102.8807367,5.765408423,The Hidden Night of Love,2
0,1,0,1,0,0,57.60414656,95.36325304,5.689747563,The Hidden World of Justice,4
0,1,0,1,1,1,57.85800159,102.0031136,6.700569197,The Last Day of War,4
0,0,0,0,1,1,54.25457562,97.71295245,7.648637349,The Hidden Revenge of Escape,2
1,0,1,0,1,0,40.33023857,110.6216302,5.484178181,The Silent Hope of Future,3
0,1,1,1,1,0,49.52288644,114.3505348,6.56167985,The Wild World of Memories,3
1,1,1,0,0,1,49.96397461,88.21015809,6.9288165,The Wild Day of Secrets,0
0,1,0,0,0,0,38.41635311,80.0315057,7.193105607,The Glorious Dream of Love,4
1,1,1,0,1,1,65.03398302,72.4569194,6.676441555,The Furious Revenge of Escape,0
1,0,0,0,1,1,58.77362291,107.6198699,6.132972161,The Lost Truth of Justice,1
1,0,0,1,0,0,47.79035826,83.44950091,5.672409779,The Dark Night of Future,2
0,0,1,0,0,0,50.26885839,67.70664111,6.586143883,The Dark City of Secrets,1
0,1,1,0,0,0,52.08382808,105.8286791,5.427860988,The Dark Game of Justice,0
0,0,0,1,0,1,29.58265132,137.3949928,3.578649517,The Glorious Day of Fire,2
1,0,1,1,1,1,47.52822617,99.90893633,6.936559804,The Broken Game of Love,1
1,1,0,1,1,1,43.18015752,112.5773616,7.403934841,The Wild World of Future,4
0,1,0,1,0,0,39.9837999,101.2274404,4.137067564,The Dark Hope of Love,4
1,1,0,1,0,0,47.18899707,98.5166552,5.490269295,The Final World of Escape,4
